"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 14, 2019","2.90","3.08","3.08","2.88","28.21M","-7.94%"
"Aug 13, 2019","3.15","3.00","3.20","3.00","18.61M","3.28%"
"Aug 12, 2019","3.05","3.05","3.11","2.96","14.21M","-2.56%"
"Aug 09, 2019","3.13","3.10","3.18","3.10","10.61M","-1.26%"
"Aug 08, 2019","3.17","3.13","3.26","3.11","21.00M","2.59%"
"Aug 07, 2019","3.09","3.04","3.09","2.93","18.09M","0.32%"
"Aug 06, 2019","3.08","3.09","3.14","3.00","23.46M","4.41%"
"Aug 05, 2019","2.95","3.14","3.14","2.85","38.74M","-9.79%"
"Aug 02, 2019","3.27","3.21","3.33","3.16","17.21M","-0.30%"
"Aug 01, 2019","3.28","3.45","3.51","3.20","28.76M","-5.48%"
"Jul 31, 2019","3.47","3.38","3.53","3.36","19.92M","2.66%"
"Jul 30, 2019","3.38","3.43","3.44","3.35","14.13M","-2.31%"
"Jul 29, 2019","3.46","3.55","3.58","3.32","25.89M","-1.42%"
"Jul 26, 2019","3.51","3.56","3.62","3.50","15.61M","0.29%"
"Jul 25, 2019","3.50","3.68","3.72","3.50","26.51M","-4.63%"
"Jul 24, 2019","3.67","3.45","3.75","3.44","38.84M","6.07%"
"Jul 23, 2019","3.46","3.43","3.49","3.37","12.46M","2.37%"
"Jul 22, 2019","3.38","3.38","3.45","3.31","12.38M","0.30%"
"Jul 19, 2019","3.37","3.43","3.48","3.36","13.78M","-1.75%"
"Jul 18, 2019","3.43","3.47","3.50","3.31","17.65M","-0.29%"
"Jul 17, 2019","3.44","3.28","3.52","3.25","26.70M","4.24%"
"Jul 16, 2019","3.30","3.40","3.45","3.26","25.76M","-2.65%"
"Jul 15, 2019","3.39","3.49","3.52","3.34","19.83M","-1.74%"
"Jul 12, 2019","3.45","3.34","3.64","3.32","39.43M","0.88%"
"Jul 11, 2019","3.42","3.64","3.68","3.32","57.07M","-7.07%"
"Jul 10, 2019","3.68","3.95","4.00","3.60","85.13M","-0.27%"
"Jul 09, 2019","3.69","3.58","3.90","3.42","87.41M","5.73%"
"Jul 08, 2019","3.49","3.21","3.50","3.13","40.42M","7.06%"
"Jul 05, 2019","3.26","3.31","3.34","3.15","35.91M","4.15%"
"Jul 03, 2019","3.13","2.93","3.29","2.90","75.34M","10.99%"
"Jul 02, 2019","2.82","2.60","2.85","2.57","35.32M","8.46%"
"Jul 01, 2019","2.60","2.67","2.68","2.58","19.54M","1.96%"
"Jun 28, 2019","2.55","2.60","2.63","2.51","17.64M","-1.92%"
"Jun 27, 2019","2.60","2.51","2.62","2.44","27.69M","1.96%"
"Jun 26, 2019","2.55","2.64","2.73","2.54","20.68M","-1.92%"
